"ZT","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1"
2,18.183,10.284,32.761,15.582,17.727,7.95500000000004,30.1419999999999,21.533,10.773,25.232,28.501,8.26900000000001,13.806,19.125,11.38,19.431,14.639,13.3629999999999,12.283,19.131,21.1799999999999,13.285,24.407,27.547,8.72699999999998,11.159,22.745,16.1899999999999,27.11,14.64,25.026,14.2239999999999
4,20.6376666666666,11.7766666666666,38.5916666666666,15.0366666666666,22.5716666666666,9.36366666666663,33.2906666666667,24.6226666666666,12.9436666666667,27.4096666666666,34.0966666666666,9.06466666666665,16.7276666666667,21.7436666666666,12.9496666666666,23.2206666666666,17.2346666666666,16.5266666666666,14.3136666666666,22.1046666666666,24.5816666666666,15.8136666666666,27.7396666666666,30.4156666666667,10.5936666666666,13.9216666666666,26.3306666666666,20.0036666666666,30.8206666666666,16.6716666666666,28.3786666666666,16.8816666666667
6,21.721,11.5219999999999,37.0279999999999,14.322,24.617,9.66599999999994,30.4499999999999,24.129,13.078,25.394,33.659,9.13499999999999,17.404,21.7769999999999,12.764,23.376,17.3159999999999,19.1479999999999,13.554,27.813,25.163,16.134,27.3969999999999,27.213,10.275,14.145,24.98,18.905,29.702,17.721,28.1079999999999,18.184
8,20.4753333333333,9.87033333333329,30.1083333333333,12.2753333333334,21.7843333333334,8.5913333333333,26.5793333333334,21.3533333333334,12.4563333333333,21.4863333333334,30.0103333333334,9.14233333333334,15.7393333333333,19.5693333333334,12.4203333333334,22.3653333333333,16.7093333333333,18.5063333333334,12.5723333333333,24.0633333333334,22.4403333333333,15.3353333333333,26.0113333333334,24.3383333333334,8.51933333333329,12.7673333333333,22.0273333333333,17.0103333333334,25.5803333333333,14.3203333333333,24.6583333333333,17.6643333333334
10,17.758,8.49200000000008,23.7950000000001,11.45,17.3530000000001,7.529,22.724,19.109,11.34,17.6510000000001,23.9860000000001,8.51600000000008,13.332,16.6800000000001,10.9240000000001,19.923,15.115,15.907,11.1310000000001,19.1120000000001,17.6110000000001,13.624,22.599,20.9110000000001,7.08800000000008,9.84800000000007,18.144,14.388,20.8190000000001,10.3330000000001,18.599,15.7610000000001
12,15.3813333333334,7.39133333333336,19.5653333333333,10.3613333333333,14.8793333333333,6.83933333333334,19.7963333333333,17.9323333333333,10.1523333333333,15.4243333333334,21.5763333333333,7.97533333333331,12.1813333333333,14.3403333333333,10.1643333333334,17.4603333333333,14.2033333333334,13.5123333333333,9.75133333333338,16.4163333333333,14.7113333333333,11.5193333333333,20.8063333333333,18.4283333333333,5.31033333333335,8.43933333333337,17.2403333333333,12.1283333333333,18.3953333333334,9.02533333333338,17.2893333333334,13.7563333333334
14,13.8086666666667,6.43166666666673,15.8876666666667,9.30666666666673,13.5336666666667,6.2646666666667,16.6626666666667,16.3566666666667,8.9086666666667,12.8706666666667,18.9936666666667,7.27866666666671,9.9136666666667,12.1636666666667,9.00866666666673,15.0426666666667,13.5706666666667,11.8616666666667,8.83066666666673,15.1796666666667,13.1316666666667,10.5866666666667,18.6376666666667,15.4186666666667,4.45566666666673,7.9376666666667,12.9076666666667,10.3036666666667,16.4246666666667,8.22066666666672,14.8106666666667,12.5676666666667
16,12.2186666666666,5.14766666666662,12.6226666666666,7.3656666666667,11.8186666666667,5.13366666666661,13.3886666666667,14.4056666666667,7.38166666666666,11.3296666666666,17.8866666666667,5.93966666666665,7.69366666666667,9.94366666666667,7.17766666666671,12.1966666666667,12.1076666666667,10.5186666666667,7.27866666666671,13.1006666666667,11.6506666666667,10.6196666666667,16.3236666666667,12.3836666666666,3.6106666666667,6.75466666666671,9.63666666666666,8.4186666666667,14.7676666666666,7.09666666666669,14.0006666666667,11.0886666666667
18,10.8163333333334,4.27633333333335,10.7363333333334,6.40633333333335,10.0563333333333,4.65733333333333,10.9913333333334,12.5303333333334,5.96533333333343,10.1073333333334,15.8413333333334,5.43333333333339,6.64533333333338,8.7793333333334,6.55033333333336,10.8163333333334,11.0143333333334,9.50633333333337,6.40633333333335,11.2783333333334,10.6653333333334,9.24133333333339,13.8723333333334,10.3163333333334,2.90833333333342,5.67133333333334,8.07433333333336,6.92033333333336,12.3773333333334,6.16733333333343,11.5963333333334,9.80833333333339
20,9.68066666666664,3.7786666666666,10.3416666666667,5.9136666666667,9.18466666666666,4.0956666666666,10.0836666666667,12.1446666666667,5.14666666666665,9.61766666666665,15.2736666666666,4.95466666666664,5.81366666666668,7.98766666666666,5.87866666666662,9.85766666666666,10.1206666666667,8.98766666666666,6.20866666666666,10.2906666666667,10.1776666666666,8.7886666666667,12.4816666666667,9.7446666666666,3.2116666666667,5.52966666666669,7.37766666666664,6.4516666666666,11.8686666666666,5.61466666666661,11.9476666666667,8.98966666666661
